"filename", "language", "JSON with Comments", "JavaScript", "JSON", "TypeScript JSX", "JavaScript JSX", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Users\khoad\texxxttt\toeic-practice-admin\API_DOCUMENTATION.md", "Markdown", 0, 0, 0, 0, 0, 0, 353, 0, 59, 412
"c:\Users\khoad\texxxttt\toeic-practice-admin\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 23, 0, 14, 37
"c:\Users\khoad\texxxttt\toeic-practice-admin\components\UserRoleEditor.tsx", "TypeScript JSX", 0, 0, 0, 59, 0, 0, 0, 0, 10, 69
"c:\Users\khoad\texxxttt\toeic-practice-admin\eslint.config.mjs", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 2, 42
"c:\Users\khoad\texxxttt\toeic-practice-admin\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\khoad\texxxttt\toeic-practice-admin\next.config.mjs", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 2, 3, 8
"c:\Users\khoad\texxxttt\toeic-practice-admin\package-lock.json", "JSON", 0, 0, 16523, 0, 0, 0, 0, 0, 1, 16524
"c:\Users\khoad\texxxttt\toeic-practice-admin\package.json", "JSON", 0, 0, 46, 0, 0, 0, 0, 0, 1, 47
"c:\Users\khoad\texxxttt\toeic-practice-admin\postcss.config.mjs", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\app\analytics\page.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 1, 10, 75
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\app\dashboard\page.js", "JavaScript", 0, 229, 0, 0, 0, 0, 0, 1, 16, 246
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\app\layout.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\app\login\page.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\app\page.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 1, 9, 40
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\app\providers.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\app\results\page.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 4, 10, 80
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\app\settings\page.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 10, 67
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\app\sign-up\page.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\app\tests\page.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 1, 13, 100
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\app\users\page.js", "JavaScript", 0, 209, 0, 0, 0, 0, 0, 20, 25, 254
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\app\users\user.tsx", "TypeScript JSX", 0, 0, 0, 91, 0, 0, 0, 7, 7, 105
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\app\vocabulary\page.js", "JavaScript", 0, 152, 0, 0, 0, 0, 0, 3, 19, 174
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\UserRoleEditor.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 15, 12, 78
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\analytics\AnalyticsMetricsCards.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 1, 5, 86
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\analytics\RecentActivity.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\analytics\ScoreDistributionChart.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\analytics\ScoreTrendChart.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 6, 72
